# target_x=0
x,theta,motor,clamped
1.409533,-0.21435755,-0.29315898,0
1.4165715,-0.2102986,-0.2807852,0
1.422529,-0.20590602,-0.26885986,0
1.4274523,-0.20122395,-0.2565698,0
1.4313867,-0.19629191,-0.24483015,0
1.4343785,-0.19114979,-0.233574,0
1.436472,-0.18583286,-0.22274654,0
1.4377096,-0.18037243,-0.21230271,0
1.4381317,-0.17479639,-0.20419413,0
1.4377775,-0.1691296,-0.19035503,0
1.436677,-0.1633829,-0.17731333,0
1.4348823,-0.15759969,-0.16452454,0
1.4324427,-0.15181836,-0.15161842,0
1.4294063,-0.14607584,-0.13839439,0
1.4258218,-0.14040986,-0.12691522,0
1.4217391,-0.13486037,-0.11694736,0
1.4172013,-0.12945786,-0.108287126,0
1.4122456,-0.12422491,-0.10075663,0
1.4069045,-0.119177535,-0.09420121,0
1.4012055,-0.114326335,-0.08848605,0
1.3951731,-0.10967747,-0.08349391,0
1.388828,-0.105233505,-0.079123214,0
1.3821886,-0.1009941,-0.075286,0
1.3752704,-0.096956626,-0.07190597,0
1.3680873,-0.09311664,-0.068917155,0
1.3606514,-0.089468345,-0.06626261,0
1.3529731,-0.08600491,-0.06389323,0
1.3450619,-0.08271879,-0.061766867,0
1.336926,-0.07960192,-0.059847243,0
1.3285726,-0.07664597,-0.05810281,0
1.3200085,-0.07384246,-0.056507308,0
1.3112397,-0.07118291,-0.05503739,0
1.3022715,-0.06865893,-0.053673528,0
1.2931089,-0.06626233,-0.05239912,0
1.2837566,-0.06398512,-0.05119982,0
1.2742188,-0.061819617,-0.05026121,0
1.2644994,-0.05975846,-0.04942975,0
1.2546017,-0.057793453,-0.048575033,0
1.2445282,-0.055916443,-0.047699854,0
1.2342817,-0.054120023,-0.046806656,0
1.223865,-0.052397452,-0.045897637,0
1.2132813,-0.050742608,-0.044974916,0
1.2025335,-0.04914993,-0.04404031,0
1.1916246,-0.047614366,-0.04309553,0
1.1805581,-0.04613132,-0.04214226,0
1.169337,-0.04469662,-0.041181672,0
1.1579647,-0.043306485,-0.04021515,0
1.1464446,-0.041957464,-0.039244138,0
1.1347798,-0.040646438,-0.038269177,0
1.122974,-0.039370563,-0.037291802,0
1.1110306,-0.03812727,-0.036312424,0
1.0989529,-0.03691422,-0.035332363,0
1.0867444,-0.03572929,-0.034352005,0
1.0744087,-0.034570552,-0.033372134,0
1.061949,-0.03343627,-0.033305362,0
1.0493691,-0.03232485,-0.035306163,0
1.0366688,-0.031229531,-0.03664566,0
1.02384,-0.03013159,-0.037410535,0
1.0108771,-0.029016273,-0.037675723,0
0.9977769,-0.027872177,-0.0375062,0
0.984538,-0.026690705,-0.036958154,0
0.97116077,-0.025465628,-0.03608076,0
0.9576469,-0.02419269,-0.03491684,0
0.9439996,-0.022869295,-0.033503853,0
0.9302229,-0.021494213,-0.031874813,0
0.91632205,-0.02006736,-0.030058526,0
0.902303,-0.018589588,-0.028080773,0
0.8881723,-0.017062519,-0.025964297,0
0.8739374,-0.015488398,-0.023229301,0
0.85960615,-0.013869975,-0.020330928,0
0.8451886,-0.012213321,-0.017498322,0
0.83069575,-0.010525187,-0.014724441,0
0.8161381,-0.008811695,-0.012004264,0
0.80152595,-0.007078429,-0.009333961,0
0.7868695,-0.005330499,-0.0067104474,0
0.7721787,-0.0035725967,-0.004131876,0
0.7574632,-0.00180905,-0.0015972033,0
0.74273264,-0.000043859938,0.00089456886,0
0.72799635,0.0017192645,0.00334353,0
